Evaluador,Obsevación,N_Modelo,ID,Instrumento,mm 11,mm 12,mm 13,mm 21,mm 22,mm 23,mm 13 - 11,mm 23 - 21,Distancia_intercanina mm 13 - 23,mm 41,mm 42,mm 43,mm 31,mm 32,mm 33,mm 43 - 41,mm 33 - 31,Distancia_intercanina mm 43 - 33
2,1,114,114,vernier,8.14,5.56,7.67,7.99,6.11,8.01,22.79,22.24,36.54,5.25,6.03,5.68,5.18,5.83,6.12,15.98,16.77,25.04
2,1,115,115,vernier,8.24,6.98,7.26,8.65,7.18,7.42,22.49,22.36,36.51,4.94,5.64,6.47,5.21,5.77,6.34,15.41,16.31,27.44
2,1,116,116,vernier,8.36,6.29,7.23,8.18,5.88,8.17,22.45,21.69,31.71,5.12,5.68,6.02,5.06,6.04,6.54,17.34,17.27,29.32
2,1,117,117,vernier,8.37,6.32,6.45,8.67,6.37,6.26,21.31,20.39,33.47,5.78,5.82,6.61,5.57,6.29,6.59,15.83,17.05,25.83
2,1,118,118,vernier,8.28,6.98,8.03,8.18,6.66,7.91,22.25,22.47,37.35,4.62,6.46,7.15,5.92,6.44,7.27,16.89,17.81,27.11
2,1,119,119,vernier,8.49,6.79,7.13,8.09,6.27,7.19,22.44,21.67,35.75,5.46,5.98,6.55,5.54,6.26,6.47,17.86,17.96,28.66
2,1,120,120,vernier,8.46,7.19,8.08,8.48,6.98,8.06,23.48,23.15,35.51,5.37,6.36,6.79,5.75,6.31,6.91,18.35,19.22,31.16
2,1,121,121,vernier,8.04,6.99,8.82,8.49,6.79,8.77,24.31,24.54,38.18,6.37,6.46,7.25,6.12,6.66,7.19,20.33,19.14,29.85
2,1,122,122,vernier,8.72,6.77,7.33,8.72,6.09,7.28,27.37,22.75,34.15,5.28,5.61,6.24,4.88,5.66,6.23,17.27,17.45,26.07
2,1,123,123,vernier,8.09,6.68,8.03,7.91,6.09,8.07,22.36,23.47,37.14,5.43,6.42,7.06,5.36,6.39,7.05,17.45,16.69,28.41
2,1,124,124,vernier,7.49,6.35,8.31,7.67,6.42,8.13,21.78,22.44,34.98,5.25,5.83,6.58,5.19,5.82,6.78,16.42,16.47,26.48
2,1,125,125,vernier,8.61,6.79,8.09,8.53,6.11,8.01,23.33,23.21,36.32,5.44,6.31,6.52,5.82,6.29,6.79,18.53,18.68,27.37
2,1,126,126,vernier,8.54,5.82,7.41,8.36,5.89,7.25,21.54,21.68,34.22,5.15,6.26,6.55,5.24,5.79,6.25,16.56,17.08,24.51
2,1,127,127,vernier,8.73,6.24,7.35,9.08,6.55,7.78,23.33,23.45,35.81,4.66,5.67,6.51,5.29,5.57,6.51,17.35,17.77,25.62
2,1,128,128,vernier,7.94,7.38,7.96,8.62,7.02,8.03,23.01,23.91,38.44,5.62,6.18,6.97,5.88,6.23,6.72,18.87,19.01,29.81
2,1,129,129,vernier,8.63,7.93,7.28,9.29,7.58,7.21,23.56,23.67,37.13,5.15,6.21,6.71,5.15,5.73,6.75,17.96,17.51,25.48
2,1,130,130,vernier,8.58,6.11,8.01,8.12,6.69,7.83,23.05,23.26,38.69,6.26,7.06,6.22,6.58,5.93,6.57,19.61,21.67,29.52
