Evaluador,Obsevación,N Modelo,ID,Instrumento,mm 11,mm 12,mm 13,mm 21,mm 22,mm 23,mm 13 - 11,mm 23 - 21,Distancia_intercanina mm 13 - 23,mm 41,mm 42,mm 43,mm 31,mm 32,mm 33,mm 43 - 41,mm 33 - 31,Distancia_intercanina mm 43 - 33
3,1,79,79,Vernier,8.08,6.82,0,8.06,6.54,7.64,0,23.12,0,4.98,6.05,6.45,5.27,5.98,6.63,16.83,17.58,26.82
3,1,80,80,Vernier,8.18,6.72,7.79,8.18,6.93,7.83,22.16,22.28,36.21,4.96,6.55,5.86,5,6.07,6.61,16.95,16.72,27.42
3,1,81,81,Vernier,8.28,6.32,6.82,8.05,6.87,7.74,23.56,23.29,23.39,4.94,6.08,6.44,5.24,5.63,6.34,17.72,17.61,29.05
3,1,82,82,Vernier,9.71,7.97,8.57,10.03,7.99,9.01,27.14,27.23,40.78,5.54,6.34,7.73,5.71,6.8,7.47,19.73,20.16,28.91
3,1,83,83,Vernier,8.82,6.92,0,7.87,6.02,8,0,22.83,0,5.4,6.12,6.77,5.04,6.18,6.88,17.83,18.42,31.6
3,1,84,84,Vernier,8.75,7.57,8.83,8.74,7.61,8.95,25.83,25.91,44.17,6.04,6.61,8.09,5.78,6.75,8.25,18.13,19.08,32.56
3,1,85,85,Vernier,8.54,5.74,7.48,8.38,5.74,7.18,22.74,22.82,36.08,5.71,6.29,5.74,5.96,6.45,5.43,17.54,17.51,28.23
3,1,86,86,Vernier,7.94,6.94,7.18,7.23,6.72,7.53,21.55,21.26,35.38,5.25,5.26,6.58,5.04,5.07,6.58,16.27,16.54,27.42
3,1,87,87,Vernier,7.76,7.53,7.71,8.51,6.92,7.98,23.95,23.73,37.29,5.85,6.22,7.39,5.57,6.08,7.43,18.35,18.73,29.36
3,1,88,88,Vernier,8.04,6.88,8.43,8.92,7.29,8.27,22.88,23.46,40.25,5.78,6.21,7.28,6.07,6.67,7.23,17.71,16.52,30.41
3,1,89,89,Vernier,8.43,7.53,8.02,8.31,7.54,7.71,24.63,24.34,38.43,5.95,6.31,6.98,5.74,6.22,6.03,16.63,18.12,28.85
3,1,90,90,Vernier,7.84,6.46,7.71,7.61,5.96,7.86,19.63,19.75,31.29,5.27,5.71,6.68,5.16,5.88,6.33,15.36,16.23,26.17
3,1,,91,Vernier,8.23,7.11,8.04,7.96,7.18,7.96,19.27,22.82,36.12,5.56,6.02,7.02,5.41,5.85,6.88,15.09,14.75,26.28
3,1,,92,Vernier,8.88,7.67,8.03,8.93,7.73,8.18,23.97,23.57,38.36,5.53,6.22,7.36,5.26,6.31,7.32,17.72,18,29.58
3,1,,93,Vernier,6.86,5.74,7.06,6.51,6.74,6.62,23.37,21.91,37.32,4.84,5.59,6.65,5.29,5.67,6.63,17.63,18.36,31.23
3,1,,94,Vernier,8.64,8.17,8.42,9.03,8.08,8.68,26.08,25.82,42.26,5.91,6.34,7.64,5.83,6.69,7.41,17.79,18.29,30.92
3,1,,95,Vernier,8.51,6.71,7.59,8.62,6.88,7.97,22.82,22.71,36.02,5.45,6.01,6.61,5.47,6.12,6.95,16.84,17.55,26.71
3,1,,96,Vernier,8.97,7.97,8.04,9.2,7.92,7.62,24.53,24.6,39.03,5.99,6.4,7.56,6.07,6.49,6.68,18.23,18.34,29.12
3,1,,97,Vernier,8.15,6.84,7.82,8.02,7.26,7.79,22.47,22.48,35.18,5.21,5.51,6.42,5.11,5.81,7.08,17.76,18.06,28.19
3,1,,98,Vernier,8.91,4.65,8.26,9.16,5.61,7.98,23.24,20.76,34.14,5.65,6.38,7.17,5.64,6.33,7.13,18.34,18.15,30.53
3,1,,99,Vernier,8.88,7.26,7.73,8.91,6.62,7.78,22.28,23.41,34.78,5.66,6.27,7.45,5.42,4.89,7.27,17.31,16.67,27.26
3,1,,100,Vernier,8.63,6.18,7.44,8.98,6.42,7.88,22.48,21.59,34.54,4.95,5.41,5.97,4.98,4.82,6.33,16.07,14.72,25.92
3,1,,101,Vernier,8.73,6.35,7.55,9.13,6.42,7.98,23.05,21.34,34.73,5.63,5.21,6.87,5.31,5.75,6.43,16.08,16.57,28.26
3,1,,102,Vernier,9.13,8.33,7.91,9.03,8.18,7.96,25.56,25.38,38.84,5.74,6.02,6.18,5.72,6.03,6.81,19.12,18.64,30.61
3,1,,103,Vernier,8.12,7.91,8.28,9.04,7.67,8.26,24.37,24.86,40.82,5.56,6.14,6.83,5.54,6.45,7.34,19.57,18.87,33.21
3,1,,104,Vernier,7.96,7.22,8.55,8.61,6.84,8.09,24.74,23.73,38.5,5.04,6.2,7.77,5.29,6.07,7.69,17.8,18.33,30.43
3,1,,105,Vernier,8.12,5.56,8.32,8.1,6.13,8.34,23.12,22.94,37.17,4.97,5.62,6.77,4.91,5.54,6.08,16.67,16.96,28.22
3,1,,106,Vernier,9.57,7.11,8.64,9.55,6.79,8.82,24.99,25.6,40.42,5.39,6.16,7.56,5.44,6.32,6.8,18.27,18.93,31.25
3,1,,107,Vernier,9.08,7.28,7.23,8.37,7.12,7.07,24.84,23.77,39.09,5.69,6.05,7.36,6.01,5.96,7.28,19.17,17.67,30.38
3,1,,108,Vernier,9.92,6.24,8.06,9.75,6.11,8.14,25.61,25.76,38.03,6.33,7.02,7.01,5.73,6.59,7.12,18.98,19.09,31.18
3,1,,109,Vernier,7.44,6.94,6.06,7.71,6.22,6.77,20.59,21.51,33.71,4.95,6.15,6.21,5.07,6.61,6.71,16.41,17.67,27.02
3,1,,110,Vernier,8.34,4.91,8.26,8.72,5.23,8.39,23.72,24.51,39.88,5.16,6.46,7.02,4.93,6.26,6.42,17.87,17.94,26.86
3,1,,111,Vernier,8.44,7.83,6.93,8.31,7.7,6.87,23.01,22.38,38.09,5.77,5.64,6.58,5.54,5.94,6.73,17.55,16.62,29.87
3,1,,112,Vernier,8.91,6.61,8.32,8.86,6.14,8.12,24.33,24.53,40.91,5.38,6.39,6.43,5.52,6.15,7.73,18.39,19.07,30.66
3,1,,113,Vernier,9.12,7.86,7.48,8.89,7.61,8.15,25.07,24.84,40.11,5.29,5.53,6.24,5.24,5.65,5.79,17.82,17.86,30.48
3,1,,114,Vernier,8.61,5.65,7.53,8.61,6.43,7.99,23.24,22.68,36.99,5.3,6.13,5.74,5.03,5.86,6.34,15.53,17.08,27.75
3,1,,115,Vernier,8.21,6.88,7.01,8.48,7.47,7.47,23.76,22.99,37.44,5.19,5.73,6.47,5.41,6.04,6.49,16.23,16.72,28.14
3,1,,116,Vernier,8.56,6.19,7.49,8.41,5.74,8.26,23.03,22.25,35.06,5.24,5.78,6.77,4.82,6.07,6.14,17.63,17.34,28.68
3,1,,117,Vernier,8.38,6.05,6.3,8.91,5.57,6.33,21.84,20.92,34.73,5.8,5.75,7.04,5.62,6.32,6.81,15.78,16.79,27.53
3,1,,118,Vernier,8.31,6.83,7.97,8.08,6.39,8.03,22.04,22.75,38.75,5.09,6.46,7.22,5.94,6.43,7.14,16.84,17.95,28.53
3,1,,119,Vernier,8.34,6.72,7.45,7.77,5.61,7.16,22.71,22.13,36.82,5.48,6.03,6.77,5.49,6.19,6.56,18.28,18.12,30.55
3,1,,120,Vernier,8.56,7.27,7.97,8.46,6.65,8.17,23.78,23.16,37.66,5.42,6.43,6.79,5.72,6.34,6.78,18.34,19.02,31.88
3,1,,121,Vernier,8.17,6.88,9.07,8.35,6.9,9.03,25.16,25.19,39.23,6.41,6.42,7.13,6.18,6.77,7.26,19.75,19.48,31.98
3,1,,122,Vernier,8.86,6.67,8.05,8.82,5.95,7.18,23.25,22.57,34.67,5.24,5.61,6.39,4.95,5.47,6.08,17.34,17.75,27.73
3,1,,123,Vernier,8.06,6.96,8.09,7.89,6.61,8.24,22.86,23.53,38.17,5.65,6.48,7.03,5.68,6.44,7.03,17.87,17.99,29.25
3,1,,124,Vernier,7.58,6.05,8.27,7.73,6.06,7.91,22.47,22.92,35.78,5.35,5.79,6.66,5.14,5.88,6.72,17.18,17.18,28.63
3,1,,125,Vernier,8.67,6.87,8.32,8.81,6.77,7.89,23.7,23.63,37.37,5.92,6.38,6.56,5.93,6.19,7.02,19.07,18.93,30.38
3,1,,126,Vernier,8.55,5.91,7.46,8.06,5.94,7.45,21.87,22.03,35.72,5.16,6.36,6.55,5.28,5.63,6.46,16.66,17.36,28.23
3,1,,127,Vernier,8.94,6.12,7.72,9.31,6.51,7.87,23.31,23.38,36.67,4.96,5.63,5.66,5.37,5.94,6.37,17.57,17.57,27.13
3,1,,128,Vernier,8.53,7.63,8.31,8.81,7.18,7.93,24.55,24.69,38.51,5.72,6.14,6.95,5.87,6.22,6.67,19.22,19.28,30.91
3,1,,129,Vernier,8.57,7.72,6.91,9.43,7.46,7.37,23.89,23.81,37.54,4.94,6.26,6.72,5.02,5.71,6.72,18.24,17.46,27.11
3,1,,130,Vernier,8.62,6.46,8.24,8.39,7.15,8.35,24.04,24.35,39.53,6.02,6.96,6.12,6.95,5.92,7.09,19.16,21.16,30.67
