ID,Edad,Sexo,Estatura,Lugar_Origen 
3,25,F,1.67,Ciudad de México
14,20,F,1.5,Estado de México
18,21,M,1.61,Estado de México
27,30,F,1.57,Ciudad de México
50,42,F,1.68,Ciudad de México
55,20,F,1.55,Ciudad de México
60,20,F,1.59,Ciudad de México
71,19,F,1.52,Ciudad de México
76,56,F,1.56,Ciudad de México
79,19,M,1.63,Estado de México
95,19,F,1.67,Ciudad de México
116,22,M,1.71,Ciudad de México
130,44,F,1.71,Ciudad de México
