"Evaluador","Obsevación","N Modelo","ID","Instrumento","mm_11","mm_12","mm_13","mm_21","mm_22","mm_23","mm_13_11","mm_23_21","mm_13_23","mm_41","mm_42","mm_43","mm_31","mm_32","mm_33","mm_43_41","mm_33_31","mm_43_33"
1,2,2,14,"Vernier",8.09,7.39,8.33,8.59,6.53,8.25,23,22.91,37,5.18,6.25,7.06,5.82,6.37,6.5,18.37,19.12,30.23
1,2,3,18,"Vernier",9.12,6.69,8.04,9.09,6.44,7.94,22.8,23.77,37.07,5.8,5.88,7.06,5.6,5.92,7.08,18.75,17.88,29.67
1,2,4,27,"Vernier",9.46,6.8,7.43,9.02,7.04,7.7,24.08,23.02,36.93,5.77,6.51,6.61,5.77,6.07,6.3,17.78,18.21,28.37
1,2,5,50,"Vernier",9.38,7.18,7.85,9.36,7.46,7.9,24.25,25.21,39.82,5.6,6.3,7.08,5.83,6.49,7.69,18.07,18.63,31.42
1,2,6,55,"Vernier",8.08,5.62,7.84,9.98,5.92,7.77,21.87,21.86,34.02,5.05,5.5,6.04,4.97,5.32,5.96,16.86,17.24,27.57
1,2,7,60,"Vernier",7.77,6.61,7.88,8.07,6.32,7.79,22.41,22.27,35.97,4.91,5.76,6.47,4.77,5.7,6.48,17.29,17.27,27.24
1,2,8,71,"Vernier",8.41,7,7.45,8.21,6.76,7.86,23.58,22.39,37.05,5.09,5.4,6.85,5,5.27,6.86,17.8,17.57,29.3
1,2,9,76,"Vernier",9.45,7.04,7.7,8.82,6.9,7.77,24.23,21.9,36.41,5.41,6,6.5,5.7,6.3,6.65,17.81,15.2,27.8
1,2,10,79,"Vernier",8.25,7.2,NA,8.38,7.31,7.7,0,22.82,0,5.1,6.06,6.6,5.21,5.56,6.56,16.83,17.5,25.8
1,2,11,95,"Vernier",8.55,7.1,7.52,8.5,7.14,7.91,23.74,22.98,35.68,5.44,6.06,6.66,5.52,6.07,6.9,16.89,17.57,25.95
1,2,12,116,"Vernier",8.65,6.25,7.16,8.3,6.61,8.09,22.54,21.88,31.53,5.3,5.85,6.43,5.06,6.09,6.39,17.56,17.43,25.4
1,2,13,130,"Vernier",9.12,6.48,7.94,8.93,7,8.3,23.22,23.9,30.6,6.56,7.39,6.7,7,6.3,6.93,20,21.22,30.55
3,1,1,3,"Vernier",8.58,6.37,7.12,7.92,6.47,6.92,21.3,21.22,37.48,5.42,6.14,8.86,5.01,5.86,5.88,15.68,15.62,27.34
3,1,2,14,"Vernier",8.33,7.46,8.41,9.02,7.73,8.59,21.26,21.11,37.13,5.59,6.43,7.14,5.33,6.22,6.73,16.82,17.15,31.43
3,1,3,18,"Vernier",9.33,6.76,8.12,9.3,6.55,7.93,21.3,22.61,37.03,5.75,6.08,7.2,5.86,5.9,7.28,18.41,17.73,28.73
