Evaluador,Obsevación,N Modelo,ID,Instrumento,Edad,Sexo,Estatura,Lugar_origen,mm 11,mm 12,mm 13,mm 21,mm 22,mm 23,mm 13 - 11,mm 23 - 21,Distancia_intercanina mm 13 - 23,mm 41,mm 42,mm 43,mm 31,mm 32,mm 33,mm 43 - 41,mm 33 - 31,Distancia_intercanina mm 43 - 33
1,1,31,27,Verniere,18,F,"1,54",Estado de México,9.17,6.53,7.44,9.02,6.8,7.28,23.35,21.97,36.76,5.54,5.89,6.41,5.82,5.79,6.39,17.84,18.36,27.35
1,1,32,69,Verniere,18,M,"1,71",Estado de México,8.36,5.75,7.2,8.39,5.98,7.35,21,21.83,34.77,5.46,6.06,6.14,4.87,5.89,6.32,16.98,17.23,25.79
1,1,33,70,Verniere,18,M,"1,61",CDMX,8.65,7.29,7.66,8.5,6.98,7.32,23.69,22.73,37.04,5.39,5.48,7.19,5.4,5.9,6.92,18.12,16.96,26.65
1,1,34,71,Verniere,18,M,"1,55",CDMX,8.45,6.82,7.46,7.99,6.34,7.69,23.12,21.68,37.07,5.03,5.23,6.75,4.83,5.43,6.86,17.74,17.47,28.42
1,1,35,72,Verniere,18,F,1.61,CDMX,8.71,7.75,8.27,8.57,7.75,8.11,20.35,20.41,37.53,5.55,6,6.31,5.36,5.95,6.51,17.4,18.3,28.8
1,1,36,32,Verniere,20,F,"1,67",CDMX,8.1,6.2,8.5,9.4,6.21,8.45,23.07,24.46,39.24,5.56,6.51,7.41,4.68,6.4,7.42,17.62,17.83,25.7
1,1,37,33,Verniere,19,F,"1,62",CDMX,8.81,5.69,7.36,8.63,5.87,7.78,21.47,22.14,36.24,5.26,5.39,6.79,4.97,6.08,6.56,17.3,17.58,28.49
1,1,38,34,Verniere,21,F,"1,56",CDMX,8.21,6.59,7.59,8.91,6.41,6.75,22.51,22.5,35.7,4.96,5.32,6.43,4.9,5.72,6.42,17.15,17.9,26.86
1,1,39,sin codigo,Verniere,19,F,"1,55",CDMX,9.03,8.77,7.74,9.38,9.15,8.41,24.15,24.01,36.32,5.62,6.41,7.48,5.3,6.43,7.34,14.98,17.71,24.47
1,1,40,35,Verniere,23,F,"1,51",Estado de México,8.76,7.51,7.89,8.79,7.29,7.5,23.9,23.2,23.98,5.77,6.02,7.26,5.51,6.64,7.19,17.85,18.42,28.45
1,1,41,sin codigo,Verniere,18,F,"1,5",CDMX,8.11,6.58,7.4,8.03,6.47,7.35,21.71,22.37,35.7,4.64,5.4,6.39,5.18,5.77,6.48,18.04,18.24,28.26
