"hemiarcada","ID","fuente","Sexo","Edad","Estatura","Lugar_origen","arco","cuerda_medida","cuerda_geometrica","Tmin_med","Tmax_med","acierto_med","Tmin_geo","Tmax_geo","acierto_geo"
"H3","sin codigo","Mediciones_Estatura","F",19,1.56,"CDMX",19.26,19.15,17.92,1.805,1.815,0,1.689,1.815,0
"H3","sin codigo","Mediciones_Estatura","F",19,1.55,"CDMX",19.07,17.71,17.198,1.669,1.797,0,1.621,1.797,0
"H3","sin codigo","Mediciones_Estatura","F",18,1.5,"CDMX",17.43,18.24,16.636,1.643,1.719,0,1.568,1.643,0
"H4","1","Mediciones_Estatura","F",21,1.6,"CDMX",18.22,19.01,17.229,1.717,1.792,0,1.624,1.717,0
"H4","2","Mediciones_Estatura","F",21,1.56,"CDMX",17.35,15,16.189,1.414,1.635,1,1.526,1.635,1
"H4","3","datos_limpios_validados","F",25,1.67,"Ciudad de México",17.465,17.195,16.497,1.621,1.646,0,1.555,1.646,0
"H4","4","Mediciones_Estatura","F",21,1.5,"Estado de México",15.89,16.49,14.961,1.498,1.554,1,1.41,1.498,0
"H4","5","Mediciones_Estatura","F",21,1.68,"CDMX",17.14,18,16.453,1.615,1.696,1,1.551,1.615,0
"H4","6","Mediciones_Estatura","M",21,1.76,"CDMX",16.43,16.65,15.513,1.548,1.569,0,1.462,1.548,0
"H4","7","Mediciones_Estatura","F",21,1.59,"CDMX",18.16,16.05,16.918,1.513,1.712,1,1.595,1.712,0
"H4","8","Mediciones_Estatura","F",NA,1.56,"-",19.49,16.83,17.934,1.586,1.837,0,1.69,1.837,0
"H4","9","Mediciones_Estatura","F",21,1.54,"CDMX",19.05,17.79,18.221,1.677,1.795,0,1.717,1.795,0
"H4","10","Mediciones_Estatura","F",21,1.59,"Estado de México",19.03,16.41,17.682,1.547,1.794,1,1.667,1.794,0
"H4","11","Mediciones_Estatura","F",20,1.5,"Estado de México",18.45,16.93,17.296,1.596,1.739,0,1.63,1.739,0
"H4","12","Mediciones_Estatura","F",21,1.57,"CDMX",17.77,17.38,16.333,1.638,1.675,0,1.539,1.675,1
"H4","13","Mediciones_Estatura","F",22,1.5,"CDMX",17.17,15.66,15.926,1.476,1.618,1,1.501,1.618,0
"H4","14","datos_limpios_validados","F",20,1.5,"Estado de México",18.755,18.25,17.788,1.72,1.768,0,1.676,1.768,0
"H4","15","Mediciones_Estatura","M",21,1.61,"Estado de México",20.42,18.43,19.064,1.737,1.925,0,1.797,1.925,0
"H4","16","Mediciones_Estatura","F",18,1.53,"CDMX",18.88,18.31,17.627,1.726,1.779,0,1.661,1.779,0
"H4","17","Mediciones_Estatura","F",18,1.6,"CDMX",17.05,17.56,16.34,1.607,1.655,0,1.54,1.607,1
"H4","18","datos_limpios_validados","M",21,1.61,"Estado de México",18.62,18.73,17.586,1.755,1.765,0,1.657,1.755,0
"H4","19","Mediciones_Estatura","F",19,1.61,"Querétaro",17.65,17.82,16.375,1.663,1.679,0,1.543,1.663,1
"H4","20","Mediciones_Estatura","F",19,1.45,"Estado de México",16.87,16.51,15.886,1.556,1.59,0,1.497,1.59,0
"H4","21","Mediciones_Estatura","M",18,1.78,"Estado de México",15.4,15.51,14.785,1.451,1.462,0,1.393,1.451,0
"H4","22","Mediciones_Estatura","F",19,1.61,"CDMX",16.52,15,15.448,1.414,1.557,0,1.456,1.557,0
"H4","23","Mediciones_Estatura","F",30,1.57,"CDMX",19.17,17.27,18.006,1.628,1.807,0,1.697,1.807,0
"H4","24","Mediciones_Estatura","F",23,1.56,"CDMX",18.47,16.79,17.128,1.582,1.741,0,1.614,1.741,0
"H4","25","Mediciones_Estatura","F",19,1.57,"CDMX",19.45,18.83,18.022,1.775,1.833,0,1.699,1.833,0
"H4","27","datos_limpios_validados","F",30,1.57,"Ciudad de México",18.64,17.74,17.416,1.672,1.757,0,1.641,1.757,0
"H4","32","Mediciones_Estatura","F",20,1.67,"CDMX",19.48,17.62,17.685,1.661,1.836,1,1.667,1.836,1
"H4","33","Mediciones_Estatura","F",19,1.62,"CDMX",17.44,17.3,16.595,1.63,1.644,0,1.564,1.644,1
"H4","34","Mediciones_Estatura","F",21,1.56,"CDMX",16.71,17.15,15.831,1.575,1.616,0,1.492,1.575,1
"H4","35","Mediciones_Estatura","F",23,1.51,"Estado de México",19.05,17.85,17.755,1.682,1.795,0,1.673,1.795,0
"H4","50","datos_limpios_validados","F",42,1.68,"Ciudad de México",18.87,18.075,17.969,1.704,1.778,0,1.694,1.778,0
"H4","55","datos_limpios_validados","F",20,1.55,"Ciudad de México",16.62,16.775,15.878,1.566,1.581,0,1.496,1.566,1
"H4","60","datos_limpios_validados","F",20,1.59,"Ciudad de México",17.135,17.235,16.32,1.615,1.624,0,1.538,1.615,1
"H4","69","Mediciones_Estatura","M",18,1.71,"Estado de México",17.66,16.98,16.408,1.6,1.664,0,1.546,1.664,0
"H4","70","Mediciones_Estatura","M",18,1.61,"CDMX",18.06,18.12,16.792,1.702,1.708,0,1.583,1.702,1
"H4","71","datos_limpios_validados","F",19,1.52,"Ciudad de México",17.235,17.445,16.565,1.624,1.644,0,1.561,1.624,0
