"hemiarcada","ID","Sexo","Edad","Estatura","Origen","arco","cuerda_medida","cuerda_geometrica","Tmin_med","Tmax_med","acierto_med","Tmin_geo","Tmax_geo","acierto_geo"
"H3",123,"M",25,1.74,"Ciudad de México",19.057,17.253,17.83,1.626,1.796,1,1.68,1.796,1
"H3",124,"F",19,1.61,"Ciudad de México",17.86,16.46,16.745,1.551,1.683,1,1.578,1.683,1
"H3",125,"M",18,1.78,"Estado de México",19.013,18.647,17.787,1.757,1.792,1,1.676,1.792,1
"H3",126,"F",19,1.45,"Estado de México",17.443,17.29,16.28,1.63,1.644,0,1.534,1.644,0
"H3",127,"F",31,1.61,"Estado de México",17.603,17.75,16.438,1.659,1.673,0,1.549,1.659,1
"H3",128,"F",25,1.67,"Ciudad de México",18.873,19.083,17.852,1.779,1.799,0,1.682,1.779,0
"H3",129,"F",25,1.58,"Estado de México",17.487,17.617,16.314,1.648,1.66,0,1.538,1.648,1
"H3",130,"F",44,1.71,"Ciudad de México",19.647,21.477,18.441,1.852,2.024,0,1.738,1.852,0
"H4",1,"F",21,1.6,"Ciudad de México",18.3,18.99,17.364,1.725,1.79,0,1.636,1.725,0
"H4",2,"F",21,1.56,"Ciudad de México",17.377,15.497,16.164,1.461,1.638,1,1.523,1.638,1
"H4",3,"F",25,1.67,"Ciudad de México",17.26,18.243,16.433,1.627,1.719,1,1.549,1.627,0
"H4",4,"F",22,1.67,"Guanajuato",16.07,16.343,15.185,1.515,1.54,0,1.431,1.515,0
"H4",5,"F",21,1.5,"Estado de México",16.833,17.577,16.215,1.586,1.657,0,1.528,1.586,0
"H4",6,"F",21,1.68,"Ciudad de México",16.357,16.547,15.504,1.542,1.559,0,1.461,1.542,0
"H4",7,"M",22,1.6,"Estado de México",17.87,16.093,16.728,1.517,1.684,1,1.577,1.684,1
"H4",8,"M",21,1.76,"Ciudad de México",19.417,16.503,17.941,1.555,1.83,1,1.691,1.83,1
"H4",9,"F",21,1.59,"Ciudad de México",19.05,17.857,18.158,1.683,1.795,0,1.711,1.795,0
"H4",10,"F",NA,1.56,NA,18.74,16.037,17.471,1.511,1.766,1,1.647,1.766,0
"H4",11,"F",21,1.54,"Ciudad de México",18.253,16.793,17.17,1.583,1.72,0,1.618,1.72,0
"H4",12,"F",21,1.59,"Estado de México",16.837,16.473,15.603,1.553,1.587,0,1.471,1.587,0
"H4",13,"F",21,1.64,"Estado de México",16.933,15.37,15.787,1.449,1.596,0,1.488,1.596,0
"H4",14,"F",20,1.5,"Estado de México",18.21,18.4,17.532,1.716,1.734,0,1.652,1.716,0
"H4",15,"F",21,1.57,"Ciudad de México",20.107,17.84,18.858,1.681,1.895,0,1.777,1.895,0
"H4",16,"F",22,1.5,"Ciudad de México",18.297,17.573,17.206,1.656,1.724,0,1.622,1.724,0
"H4",17,"F",20,1.42,"Ciudad de México",16.68,17.357,15.959,1.572,1.636,0,1.504,1.572,0
"H4",18,"M",21,1.61,"Estado de México",18.45,18.047,17.478,1.701,1.739,0,1.647,1.739,0
"H4",19,"F",18,1.53,"Ciudad de México",17.017,17.093,15.975,1.604,1.611,0,1.506,1.604,1
"H4",20,"F",18,1.6,"Ciudad de México",16.587,15.967,15.689,1.505,1.563,0,1.479,1.563,0
"H4",21,"F",19,1.56,"Ciudad de México",15.337,15.393,14.741,1.445,1.451,0,1.389,1.445,0
"H4",22,"F",20,1.57,"Estado de México",16.323,14.93,15.303,1.407,1.538,0,1.442,1.538,0
"H4",23,"F",19,1.61,"Querétaro",18.69,17.227,17.717,1.624,1.761,0,1.67,1.761,0
"H4",24,"F",19,1.45,"Estado de México",18.317,16.537,17.063,1.559,1.726,0,1.608,1.726,0
"H4",25,"M",18,1.78,"Estado de México",18.91,17.953,17.725,1.692,1.782,1,1.671,1.782,1
"H4",26,"F",19,1.61,"Ciudad de México",18.357,15.757,17.198,1.485,1.73,1,1.621,1.73,0
"H4",27,"F",30,1.57,"Ciudad de México",18.19,17.29,17.337,1.63,1.714,0,1.634,1.714,0
"H4",28,"F",23,1.56,"Ciudad de México",20.6,18.025,18.939,1.699,1.942,0,1.785,1.942,0
"H4",29,"F",19,1.57,"Ciudad de México",18.395,17.68,17.572,1.666,1.734,0,1.656,1.734,0
"H4",30,"F",18,1.55,"Estado de México",16.455,16.325,15.898,1.539,1.551,1,1.498,1.551,1
"H4",31,"F",18,1.54,"Estado de México",20.73,14.385,18.286,1.356,1.954,1,1.723,1.954,0
"H4",32,"M",18,1.71,"Estado de México",18.937,17.25,17.457,1.626,1.785,1,1.645,1.785,1
"H4",33,"M",18,1.61,"Ciudad de México",17.03,16.797,16.372,1.583,1.605,0,1.543,1.605,0
"H4",34,"M",18,1.55,"Ciudad de México",16.643,16.79,15.834,1.569,1.582,0,1.492,1.569,1
"H4",35,"F",18,1.61,"Ciudad de México",19.333,16.997,18.02,1.602,1.822,1,1.698,1.822,0
"H4",36,"F",20,1.67,"Ciudad de México",19.227,18.07,18.07,1.703,1.812,0,1.703,1.812,0
"H4",37,"F",19,1.62,"Ciudad de México",15.633,16.127,14.851,1.473,1.52,0,1.4,1.473,0
"H4",38,"F",21,1.56,"Ciudad de México",17.533,17.72,16.517,1.652,1.67,0,1.557,1.652,1
"H4",39,"F",19,1.55,"Ciudad de México",19.667,19.2,18.504,1.81,1.854,0,1.744,1.854,0
"H4",40,"F",23,1.51,"Estado de México",17.94,15.967,16.576,1.505,1.691,1,1.562,1.691,0
"H4",41,"F",18,1.5,"Ciudad de México",18.78,18.887,18.074,1.77,1.78,0,1.703,1.77,0
"H4",42,"M",19,1.9,"Ciudad de México",18.17,18.497,17.186,1.712,1.743,0,1.62,1.712,0
"H4",43,"F",18,1.7,"Estado de México",19.683,17.753,18.23,1.673,1.855,1,1.718,1.855,0
"H4",45,"F",18,1.58,"Ciudad de México",18.067,16.613,16.986,1.566,1.703,1,1.601,1.703,0
"H4",46,"F",19,1.6,"Ciudad de México",18.533,17.34,17.603,1.634,1.747,0,1.659,1.747,0
"H4",47,"M",18,1.62,"Ciudad de México",18.34,17.72,17.093,1.67,1.729,0,1.611,1.729,1
"H4",48,"M",18,1.63,"Querétaro",19.173,18.9,18.312,1.781,1.807,0,1.726,1.807,0
"H4",49,"F",19,1.63,"Ciudad de México",18.053,18.15,17.219,1.701,1.711,0,1.623,1.701,1
"H4",50,"F",42,1.68,"Ciudad de México",18.677,17.78,17.972,1.676,1.76,1,1.694,1.76,0
"H4",51,"F",23,1.56,"Ciudad de México",20.527,18.617,18.954,1.755,1.935,0,1.786,1.935,0
"H4",52,"F",21,1.65,"Ciudad de México",18.123,17.2,17.203,1.621,1.708,1,1.621,1.708,1
"H4",53,"F",22,1.68,"Ciudad de México",18.38,18.2,17.572,1.715,1.732,0,1.656,1.732,1
"H4",54,"F",20,1.61,"Estado de México",17.75,16.177,16.901,1.525,1.673,1,1.593,1.673,1
"H4",55,"F",20,1.55,"Ciudad de México",16.193,16.637,15.574,1.526,1.568,1,1.468,1.526,0
"H4",56,"F",20,1.54,"Ciudad de México",18.46,17.64,17.151,1.663,1.74,0,1.616,1.74,0
"H4",57,"M",19,1.89,"Ciudad de México",17.59,18.115,17.084,1.658,1.707,0,1.61,1.658,0
"H4",58,"F",20,1.57,"Ciudad de México",16.975,17.08,16.412,1.6,1.61,0,1.547,1.6,1
"H4",59,"F",32,1.57,"Puebla",18.83,17.525,17.887,1.652,1.775,0,1.686,1.775,0
"H4",60,"F",20,1.59,"Ciudad de México",15.975,17.19,15.57,1.506,1.62,1,1.467,1.506,0
"H4",61,"F",19,1.53,"Ciudad de México",19.57,17.78,18.316,1.676,1.844,0,1.726,1.844,0
"H4",62,"F",18,1.69,NA,19.085,19.205,18.064,1.799,1.81,0,1.702,1.799,0
"H4",63,"F",19,1.61,"Ciudad de México",17.835,17.255,17.334,1.626,1.681,0,1.634,1.681,0
"H4",64,"F",19,1.53,"Ciudad de México",16,16.73,15.381,1.508,1.577,1,1.45,1.508,0
"H4",65,"F",22,1.66,"Ciudad de México",18.133,16.26,17.109,1.532,1.709,1,1.612,1.709,1
"H4",66,"M",19,1.72,"Ciudad de México",19.527,19.737,18.324,1.84,1.86,0,1.727,1.84,0
"H4",67,"F",26,1.62,"Estado de México",17.867,18.277,16.958,1.684,1.723,0,1.598,1.684,1
"H4",68,"M",18,1.72,"Estado de México",19,17.98,18.058,1.695,1.791,1,1.702,1.791,1
"H4",69,"F",18,1.58,"Ciudad de México",17.303,16.883,16.356,1.591,1.631,0,1.541,1.631,1
"H4",70,"M",18,1.69,"Estado de México",17.298,17.963,16.419,1.63,1.693,1,1.547,1.63,0
"H4",71,"F",19,1.52,"Ciudad de México",17.045,17.602,16.427,1.606,1.659,0,1.548,1.606,0
"H4",72,"F",20,1.51,"Ciudad de México",17.948,17.153,17.138,1.617,1.692,0,1.615,1.692,0
"H4",73,"F",18,1.64,"Ciudad de México",18.37,17.493,17.149,1.649,1.731,0,1.616,1.731,1
"H4",74,"F",27,1.64,"Ciudad de México",18.473,18.723,17.165,1.741,1.765,0,1.618,1.741,1
"H4",75,"F",18,1.5,"Ciudad de México",18.293,15.667,17.483,1.477,1.724,1,1.648,1.724,0
"H4",76,"F",56,1.56,"Ciudad de México",17.787,17.577,16.826,1.657,1.676,0,1.586,1.676,0
"H4",77,"F",19,1.64,"Ciudad de México",17.037,16.327,15.91,1.539,1.606,0,1.499,1.606,0
"H4",78,"M",18,1.7,"Ciudad de México",17.57,16.423,16.736,1.548,1.656,0,1.577,1.656,0
"H4",79,"M",19,1.63,"Estado de México",17.653,16.943,16.363,1.597,1.664,1,1.542,1.664,1
"H4",81,"F",18,1.57,"Ciudad de México",17.583,17.56,16.768,1.655,1.657,0,1.58,1.657,0
"H4",84,"F",18,1.73,"Ciudad de México",20.613,18.13,19.352,1.709,1.943,1,1.824,1.943,0
"H4",87,"M",18,1.75,"Ciudad de México",18.837,18.363,17.705,1.731,1.775,1,1.669,1.775,1
