"Evaluador","ID","mm_11","mm_12","mm_13","mm_21","mm_22","mm_23","mm_13_11","mm_23_21","intercanina_sup","mm_41","mm_42","mm_43","mm_31","mm_32","mm_33","mm_43_41","mm_33_31","intercanina_inf","Edad","Sexo","Estatura","Origen"
2,75,7.94,6.14,7.47,7.33,5.68,7.38,20.52,20.97,34.61,5.57,6.01,6.83,5.69,6.02,6.25,15.44,17.42,27.28,18,"F",1.5,"Ciudad de México"
2,76,9.33,7.01,7.63,8.47,6.63,7.81,23.93,21.51,38.01,5.43,6.07,6.68,5.46,5.92,6.78,17.98,16.12,27.62,56,"F",1.56,"Ciudad de México"
2,77,8.19,6.04,7.65,8.14,6.01,7.76,22.89,22.44,37.25,5.15,5.43,6.99,5.21,5.43,6.37,16.52,17.48,25.24,19,"F",1.64,"Ciudad de México"
2,78,8.31,6.45,7.31,8.38,5.89,7.12,22.77,23.04,35.64,5.23,5.71,6.61,5.15,4.48,6.31,16.45,16.97,28.89,18,"M",1.7,"Ciudad de México"
2,79,7.81,6.89,NA,8.27,6.47,7.71,NA,22.49,NA,4.96,5.99,6.61,5.04,5.62,6.84,17.03,17.46,25.62,19,"M",1.63,"Estado de México"
2,81,8.09,6.16,8.46,7.82,6.29,8.47,23.41,22.95,36.92,5.04,5.61,6.73,5.12,5.74,6.34,17.26,17.48,28.77,18,"F",1.57,"Ciudad de México"
2,84,9.23,7.37,9.17,8.76,7.29,8.87,25.54,26.08,44.52,5.96,6.31,8.11,5.66,6.46,8.14,18.18,18.77,32.13,18,"F",1.73,"Ciudad de México"
2,87,8.98,7.53,7.65,8.73,6.93,7.87,23.78,23.44,35.73,5.11,6.01,7.32,5.37,5.93,7.46,18.32,18.74,29.93,18,"M",1.75,"Ciudad de México"
2,90,7.62,6.35,7.47,7.19,5.91,7.97,19.15,19.49,30.01,5.25,5.63,6.38,4.75,6.01,6.35,15.58,15.47,26.06,18,"F",1.57,"Ciudad de México"
2,95,8.42,6.71,7.67,8.59,6.42,7.94,23.46,23.12,33.62,5.41,6.03,6.59,5.48,6.08,6.91,16.63,17.56,27.48,19,"F",1.67,"Ciudad de México"
2,96,9.11,8.06,7.97,9.06,7.27,7.71,25.09,24.03,39.98,5.89,6.44,7.51,6.12,6.48,6.93,17.99,17.91,30.27,19,"F",1.7,"Ciudad de México"
2,97,7.94,6.75,7.66,7.76,6.84,7.81,22.55,22.48,32.98,5.09,5.52,6.56,5.08,5.64,7.21,17.25,18.14,28.36,18,"F",1.57,"Ciudad de México"
2,99,8.82,6.86,7.67,7.82,6.51,7.86,21.73,23.14,35.18,6.73,6.16,7.44,5.61,4.71,7.29,17.06,16.64,27.77,19,"M",1.81,"Ciudad de México"
2,102,9.03,8.39,8.11,9.31,8.21,7.98,24.98,24.75,37.22,5.88,6.18,6.64,5.98,5.97,6.42,18.68,18.09,29.81,17,"F",1.51,"Ciudad de México"
2,105,7.98,6.13,8.28,8.07,6.06,8.18,22.98,23.11,37.02,5.06,5.78,6.85,4.92,5.72,6.63,16.95,17.32,27.77,21,"F",1.56,"Ciudad de México"
