"modelo","n","precision","rmse","r_tmin","r_tprom","r_tmax","cuerda_arco","imposibles"
"H3 medida",51,13.7,0.1485,0.009,-0.046,-0.097,0.98,20
"H3 geométrica",51,29.4,0.1384,-0.137,-0.126,-0.115,0.938,0
"H4 medida",52,19.2,0.1412,0.089,0.007,-0.079,0.969,21
"H4 geométrica",52,30.8,0.1369,-0.083,-0.068,-0.053,0.938,0
