"hemiarcada","ID","Sexo","Edad","Estatura","Origen","arco","cuerda_medida","cuerda_geometrica","Tmin_med","Tmax_med","acierto_med","Tmin_geo","Tmax_geo","acierto_geo"
"H3",67,"F",26,1.62,"Estado de México",18.55,17.94,17.703,1.691,1.748,0,1.669,1.748,0
"H3",68,"M",18,1.72,"Estado de México",20.53,18.61,19.497,1.754,1.935,0,1.838,1.935,0
"H3",69,"F",18,1.58,"Ciudad de México",17.07,17.16,16.296,1.609,1.617,0,1.536,1.609,1
"H3",70,"M",18,1.69,"Estado de México",17.79,16.88,17.083,1.591,1.677,0,1.61,1.677,0
"H3",71,"F",19,1.52,"Ciudad de México",17.08,17.45,16.63,1.61,1.645,0,1.567,1.61,0
"H3",72,"F",20,1.51,"Ciudad de México",17.56,18.05,16.711,1.655,1.701,0,1.575,1.655,0
"H3",73,"F",18,1.64,"Ciudad de México",18.4,18.53,17.019,1.734,1.746,0,1.604,1.734,1
"H3",74,"F",27,1.64,"Ciudad de México",18.76,18.17,17.286,1.712,1.768,0,1.629,1.768,1
"H3",75,"F",18,1.5,"Ciudad de México",17.96,17.42,16.796,1.642,1.693,0,1.583,1.693,0
"H3",76,"F",56,1.56,"Ciudad de México",18.16,16.12,17.006,1.519,1.712,1,1.603,1.712,0
"H3",77,"F",19,1.64,"Ciudad de México",17.01,17.48,15.821,1.603,1.647,1,1.491,1.603,0
"H3",78,"M",18,1.7,"Ciudad de México",15.94,16.97,15.427,1.502,1.599,0,1.454,1.502,0
"H3",79,"M",19,1.63,"Estado de México",17.5,17.46,16.245,1.646,1.649,0,1.531,1.649,1
"H3",81,"F",18,1.57,"Ciudad de México",17.2,17.48,16.456,1.621,1.647,0,1.551,1.621,1
"H3",84,"F",18,1.73,"Ciudad de México",20.26,18.77,19.151,1.769,1.909,0,1.805,1.909,0
"H3",87,"M",18,1.75,"Ciudad de México",18.76,18.74,17.783,1.766,1.768,0,1.676,1.768,1
"H3",90,"F",18,1.57,"Ciudad de México",17.11,15.47,16.022,1.458,1.613,1,1.51,1.613,1
"H3",95,"F",19,1.67,"Ciudad de México",18.47,17.56,17.229,1.655,1.741,1,1.624,1.741,1
"H3",96,"F",19,1.7,"Ciudad de México",19.53,17.91,18.355,1.688,1.841,1,1.73,1.841,0
"H3",97,"F",18,1.57,"Ciudad de México",17.93,18.14,16.99,1.69,1.71,0,1.601,1.69,0
"H3",99,"M",19,1.81,"Ciudad de México",17.61,16.64,16.52,1.568,1.66,0,1.557,1.66,0
"H3",102,"F",17,1.51,"Ciudad de México",18.37,18.09,17.444,1.705,1.731,0,1.644,1.731,0
"H3",105,"F",21,1.56,"Ciudad de México",17.27,17.32,16.359,1.628,1.632,0,1.542,1.628,1
"H3",106,"F",19,1.61,"Querétaro",18.61,18.71,17.575,1.754,1.763,0,1.656,1.754,0
"H3",107,"F",43,1.62,"Ciudad de México",19.71,17.79,18.627,1.677,1.858,0,1.756,1.858,0
"H3",108,"F",20,1.67,"Ciudad de México",19.52,19.25,18.475,1.814,1.84,0,1.741,1.84,0
"H3",109,"F",54,1.53,"Michoacán",18.14,17.24,16.71,1.625,1.71,0,1.575,1.71,0
"H3",110,"M",18,1.71,"Estado de México",18.14,17.63,16.939,1.662,1.71,0,1.596,1.71,0
"H3",111,"F",19,1.63,"Ciudad de México",16.65,16.96,16.173,1.569,1.598,0,1.524,1.569,0
"H3",112,"M",20,1.66,"Ciudad de México",18.57,19.38,17.28,1.75,1.827,0,1.629,1.75,1
"H3",113,"M",47,1.75,"Ciudad de México",17.41,17.85,16.867,1.641,1.682,0,1.59,1.641,0
"H3",114,"M",29,1.69,"Ciudad de México",17.13,16.77,15.904,1.581,1.614,0,1.499,1.614,0
"H3",116,"M",22,1.71,"Ciudad de México",17.64,17.27,16.926,1.628,1.663,0,1.595,1.663,0
"H3",117,"F",23,1.59,"Estado de México",18.45,17.05,16.965,1.607,1.739,0,1.599,1.739,0
"H3",118,"F",59,1.51,"Michoacán",19.63,17.81,18.025,1.679,1.85,0,1.699,1.85,0
"H3",119,"F",32,1.56,"Ciudad de México",18.27,17.96,17.248,1.693,1.722,0,1.626,1.722,0
"H3",120,"F",48,1.55,"Michoacán",18.97,19.22,18.117,1.788,1.811,0,1.707,1.788,0
"H3",121,"F",19,1.55,"Ciudad de México",19.97,19.14,18.624,1.804,1.882,0,1.755,1.882,0
"H3",122,"F",27,1.55,"Ciudad de México",16.77,17.45,15.767,1.581,1.645,0,1.486,1.581,1
"H3",123,"M",25,1.74,"Ciudad de México",18.8,16.69,17.576,1.573,1.772,1,1.656,1.772,1
"H3",124,"F",19,1.61,"Ciudad de México",17.79,16.47,16.584,1.552,1.677,1,1.563,1.677,1
"H3",125,"M",18,1.78,"Estado de México",18.9,18.68,17.526,1.761,1.781,1,1.652,1.781,1
"H3",126,"F",19,1.45,"Estado de México",17.28,17.08,15.914,1.61,1.629,0,1.5,1.629,0
"H3",127,"F",31,1.61,"Estado de México",17.37,17.77,16.175,1.637,1.675,0,1.524,1.637,1
"H3",128,"F",25,1.67,"Ciudad de México",18.83,19.01,17.802,1.775,1.792,0,1.678,1.775,0
"H3",129,"F",25,1.58,"Estado de México",17.63,17.51,16.308,1.65,1.662,0,1.537,1.662,1
"H3",130,"F",44,1.71,"Ciudad de México",19.08,21.67,17.917,1.798,2.042,0,1.689,1.798,1
"H4",1,"F",21,1.6,"Ciudad de México",18.25,18.95,17.453,1.72,1.786,0,1.645,1.72,0
"H4",2,"F",21,1.56,"Ciudad de México",17.49,15.75,16.223,1.484,1.648,1,1.529,1.648,1
"H4",3,"F",25,1.67,"Ciudad de México",16.17,17.33,15.457,1.524,1.633,0,1.457,1.524,0
"H4",4,"F",22,1.67,"Guanajuato",15.89,15.91,15.095,1.498,1.499,0,1.423,1.498,0
