"modelo","n","precision","rmse","r_tmin","r_tprom","r_tmax","cuerda_arco","imposibles"
"H3 medida",112,23.2,0.1253,0.24,0.254,0.229,0.963,32
"H3 geometrica",112,26.8,0.1232,0.227,0.211,0.193,0.945,0
"H4 medida",111,34.2,0.1203,0.248,0.255,0.204,0.95,29
"H4 geometrica",111,25.2,0.1279,0.207,0.187,0.166,0.944,0
